mode;id;GAE Title;GAE Story;;;;;;;;;
5;429571153;;;smiley;television;angry;surprise;1;love;gift;nature;affection
5;435442187;;;space people;video game people;robots;cartoon people;1;Animals;decorations;Art work;clothing
5;440617201;;;Technology;Robot;Machine;Factory;1;Logo;Trade mark;Gift;Fancy
5;622846597;;;HAPPY;SAD;SURPRISE;CONFLICT;1;HAPPY;BEAUTIFUL;EXCELLENT;WONDERFUL
5;655085836;;;Bender;Futurama;Cartoon robots;Cartoon Channel;1;stock photos;generic;tedious;the usual
5;694980070;;;Robots;Emoctions;Antenna;Unrealistic;1;Random;Pattern;Fashion;artistic
5;730143794;;;Cartoons;Emoticons;Faces;colorful;1;Art;Design;beauty;individuality
5;770452664;;;Cartoon;Robot;Drawing;Character;1;Random;Life;Beauty;Interests
5;897969417;;;robote;robote;robote;robote;1;gown;gown;gown;gown
6;92605338;;;Toys;Robots;Antenna;Human-controlled;1;Modern paintings;Designs;Pictures;Clarity
6;138644941;;;robots;head;cartoons;electric;1;photos;scenories;paintings;antique
6;174924423;;;robot;robot;robot;robot;1;horse;horse;horse;horse
6;398916554;;;robot;servo;AI;fun;1;beauty;nature;garden;animal
6;436281615;;;;;;;1;;;;
6;472453038;;;ROBOTIC;ANTENNA;DOLL;;1;FROG;STAR;BUTTERFLY;HEART
6;500386164;;;good;good;good;good;1;horse;picture;packet;butterfiy
6;501318209;;;robot;skeleton;antenna;worm;1;heart;star;chair;girl
6;504942284;;;Cartoon images;Robots;Aliens ;;1;images of fashion;images of clip arts;images of symbols;
6;517030141;;;abayam;minse;niles;likes;1;feack;hard;buter flower;nives
6;545749603;;;robots;droids ;machines;automitons;1;survival;tayloring;nature;art
6;567793249;;;todays life i miss this tv anntena's;post box to send our love by post;;;1;farm land organic use;pillow emroidry to decorate our hose;;
6;597296818;;;cool;unique;attractive;funny;1;beautiful;awesome;excellent;nice
6;730885450;;;robot;clone;zombie;cyborg;1;earthly;worldly;terrestrial ;realistic 
6;785555964;;;robot;antenna;snail;worm;1;heart;butterfly;frog;girl
6;807156153;;;robots;mechanical;cartoons;characters;1;varied;mixture;eclectic;unrelated
6;905036301;;;robot;cartoon;animation;emotions;1;pictures;photographs;thumbnails;memories
6;980134823;;;antenna;robot;cartoon;symbol;1;nature;designing;drawings;beautiful
